Actual (mm),Predicted (mm)
-263.1,-234.08217
-89.2,-50.34479
28.699999999999996,73.73768
114.6,97.26401
130.0,71.181854
98.4,45.388844
48.9,32.83504
12.1999999999999,30.877226
28.0,36.111565
104.29999999999991,114.51837
263.7,286.45596
443.6000000000001,499.4935
639.4,668.9908
786.6999999999999,834.20874
853.9,927.49005
844.1,902.25085
734.2,770.04535
502.29999999999995,519.5007
229.8,204.9166
-64.4,-42.702152
-331.7,-259.9829
-522.1,-483.57864
-631.8,-606.5359
-655.4,-605.94006
-579.3999999999999,-530.2604
-450.1,-405.592
-277.2,-244.30338
-105.0,-87.696884
19.900000000000002,24.02794
130.1,82.61606
173.00000000000003,109.89318
173.4,129.23438
169.9,164.49072
158.0,178.34758
207.0999999999999,208.44337
290.0999999999999,294.58368
402.3,401.0045
547.8,512.7869
673.2,667.2107
768.7,787.6514
809.0999999999998,818.0645
747.3,753.76984
593.0,565.73016
358.9,313.37442
65.19999999999999,76.1733
-220.1,-192.12642
-470.70000000000005,-459.42966
-652.9000000000001,-645.47205
-737.5999999999999,-704.97675
-707.0000000000001,-659.3373
-561.9,-554.85144
-374.0,-376.27853
-159.1,-164.43294
57.4999999999999,28.914938
210.99999999999997,166.32373
283.8,233.09186
313.09999999999997,266.76035
286.1,291.2599
246.4,256.58624
203.3999999999999,235.79736
217.3999999999999,249.43547
288.8,281.22845
402.8,342.5881
563.0,457.16724
697.4,653.1953
795.0999999999999,799.3497
794.4,803.9992
688.9999999999999,652.99146
462.20000000000005,423.88138
173.6,167.96133
-160.89999999999998,-153.70851
-476.2,-486.76663
-714.4999999999999,-706.34283
-828.2,-782.07605
-794.1,-770.023
-629.6,-656.4362
-396.4999999999999,-424.38458
-108.60000000000001,-154.05255
143.9,107.8647
331.5,296.79382
404.99999999999994,383.73276
387.29999999999995,398.65552
316.2,342.11816
187.19999999999993,220.09808
98.0999999999999,120.57381
73.3,93.01219
138.9,114.20304
300.0,221.32771
505.2,379.7113
712.0,553.7731
861.3,766.25287
905.2,861.6854
794.4,723.1226
545.0,477.0436
195.1999999999999,199.96225
-197.7,-175.92236
-552.6999999999999,-552.9622
-788.9000000000001,-769.40894
-902.8000000000001,-865.8801
-832.2,-864.71466
-610.0,-669.69037
-306.8,-347.3869
22.2999999999999,-24.609468
298.09999999999997,261.44174
473.4,441.3244
526.7,500.84576
445.49999999999994,467.68857
289.9,327.38403
110.0,120.86387
-27.599999999999998,-19.677057
-60.6,-64.48155
33.0,-0.69174397
244.0,215.071
507.79999999999995,455.28696
726.8000000000001,610.41614
894.9,776.2669
950.4,874.2678
817.0999999999999,708.43823
521.8000000000001,482.26108
133.20000000000002,154.66888
-281.7,-277.87448
-641.1,-625.7934
-845.0,-830.38306
-883.5000000000001,-930.5267
-735.4,-817.4314
-442.3,-495.43472
-80.10000000000001,-114.68702
266.1,228.28596
523.3,496.57254
641.2,625.93866
605.1999999999999,635.6915
421.69999999999993,483.97794
188.79999999999998,211.44186
-21.5,-55.15606
-178.0,-203.10056
-175.1,-241.36789
-11.299999999999997,-67.85136
239.6999999999999,286.88785
568.0,575.21985
834.8000000000001,712.188
1010.5999999999999,860.4817
1001.7,909.911
807.3000000000001,712.9434
450.0,441.89304
16.800000000000004,17.493065
-393.8,-412.69907
-693.6,-709.06506
-832.8,-887.92267
-797.4,-882.53064
-569.3,-599.8726
-230.29999999999998,-203.11842
147.60000000000002,168.16687
474.0999999999999,480.91544
663.7,666.40906
681.4,735.9421
522.3,615.01733
261.1,328.35138
-18.2,-24.351635
-238.7,-280.06653
-347.3,-402.25906
-277.7,-369.11914
-71.0,-82.70215
242.60000000000002,330.56665
602.4000000000001,649.169
876.8000000000002,787.8711
996.0,937.5129
931.4000000000001,921.6175
668.9000000000001,684.3088
278.6,308.005
-154.0,-143.24962
-513.6999999999999,-549.44775
-745.9,-787.8706
-800.0999999999999,-906.99335
-649.5999999999999,-740.31824
-357.4,-363.78168
37.8999999999999,43.711384
403.0999999999999,416.70654
657.3,671.07306
743.6,787.3246
665.1999999999999,722.5027
425.29999999999995,484.23386
98.30000000000001,117.96866
-202.40000000000003,-228.72043
-394.80000000000007,-444.00626
-450.50000000000006,-536.00323
-316.3,-394.48703
-35.6,-38.953465
319.5,387.72507
665.5,671.2867
889.8,809.4565
938.3000000000001,937.86993
804.2,809.1436
487.09999999999997,535.72595
90.80000000000001,99.90293
-287.7,-325.04303
-561.0999999999999,-624.8404
-682.9,-806.0357
-602.4000000000001,-752.8192
-355.6,-411.45227
-11.6999999999999,17.891607
379.70000000000005,404.34656
674.2,681.1166
836.6999999999999,833.3221
791.8000000000001,839.2898
558.3000000000001,619.2136
266.29999999999995,254.3689
-94.19999999999989,-123.926895
-369.79999999999995,-412.81082
-502.2,-593.0541
-468.2,-589.84186
-270.8,-306.9018
44.4,111.293396
407.0,483.08194
711.1,698.51697
845.0,822.8083
816.8000000000001,866.97705
630.0,655.9039
300.59999999999997,317.0672
-59.8999999999999,-86.27556
-364.8,-415.26233
-526.5999999999999,-612.12573
-521.8000000000001,-671.58344
-363.70000000000005,-430.22708
-59.3999999999999,-35.21368
314.0,362.8614
623.8,642.3125
821.1999999999999,788.54
866.3000000000001,876.35254
710.5000000000001,708.6075
426.0,432.83124
67.7,45.081615
-252.6,-289.96497
-481.4,-528.7925
-553.6999999999999,-645.24963
-451.6,-522.0542
-211.60000000000005,-185.827
118.90000000000002,213.14824
442.3999999999999,529.8337
655.1,696.50244
724.0,785.9621
617.3,692.5151
392.7,446.2065
109.8,71.43178
-172.3,-231.21577
-361.29999999999995,-434.97815
-404.3,-526.3211
-308.09999999999997,-402.3675
-69.8,-61.459915
260.2,345.7591
569.9,630.2973
803.1999999999999,771.3073
893.0,890.5291
805.3000000000002,801.3727
564.0,565.4292
240.49999999999997,214.90213
-110.69999999999989,-140.09851
-399.5,-451.22244
-553.9,-634.11914
-562.0,-623.31586
-404.1,-418.03094
-154.1,-74.58165
140.7999999999999,272.13947
385.2999999999999,515.423
516.6999999999999,616.8354
505.0,586.5536
370.2,423.2209
160.9999999999999,178.70699
-71.0,-96.246254
-265.6,-287.9317
-336.8,-387.77902
-275.8,-336.26553
-107.2,-109.20221
172.4,247.14424
488.8,579.23987
718.2,770.60156
839.6,897.1612
816.9000000000001,871.66815
635.1,679.12366
357.59999999999997,375.47275
36.6,13.685252
-285.3,-329.7612
-491.4,-553.36707
-581.1999999999999,-618.50867
-550.5,-552.5455
-366.2999999999999,-355.0877
-126.69999999999989,-77.94834
106.6,188.93456
293.5999999999999,369.97513
374.59999999999997,428.8857
336.7,351.6037
222.39999999999998,201.29431
52.699999999999996,32.128357
-105.39999999999999,-117.70607
-194.3,-201.75603
-184.70000000000005,-194.50461
-56.4999999999999,-72.717155
157.79999999999998,188.03062
428.3,495.53555
663.3,695.1847
796.6999999999999,834.7448
826.2,871.0057
711.8,726.3064
505.09999999999997,481.91238
221.29999999999998,191.67035
-81.4,-113.33015
-329.5,-356.14008
-490.7,-516.9034
-541.0,-569.63965
-446.9000000000001,-499.21036
-291.8,-311.74884
-92.9,-88.428604
92.3,111.03556
217.1,244.83455
253.6,268.29398
222.8,192.14523
152.60000000000002,94.84935
34.1,18.367022
-30.1999999999999,-28.42024
-33.2,-32.421238
36.800000000000004,33.10548
201.1,203.97372
409.4,437.1508
631.3,616.2438
777.5,779.7638
824.7000000000002,886.24316
782.1,816.388
627.7,620.2202
403.7,362.6646
140.0,101.19851
-106.89999999999999,-129.41167
-312.8,-295.1683
-435.40000000000003,-432.07913
-451.40000000000003,-467.58752
-363.19999999999993,-401.75296
-252.4,-256.96115
-85.69999999999999,-94.83369
50.9,58.30202
113.60000000000001,154.75368
156.8999999999999,152.2629
140.4,112.89659
87.7,77.97321
60.5,67.1066
42.199999999999996,83.9259
87.5,99.969795
194.99999999999997,185.60858
348.9,358.64688
518.5000000000001,534.379
661.8000000000001,688.124
737.5000000000001,823.4427
742.1999999999999,835.08136
655.7,718.26117
512.6999999999999,499.06046
318.90000000000003,263.81696
86.2,71.88319
-121.7,-79.369576
