ds,yhat,yhat_lower,yhat_upper,DangerZone
2025-09-25,201.28310210267927,114.65324252517335,286.1056775978534,✅ Safe
2025-09-26,201.75517925474438,120.32760998397413,284.50312473506557,✅ Safe
2025-09-27,207.0970764996471,129.34496444652726,296.09862771063877,✅ Safe
2025-09-28,216.99467527720643,132.75200389334458,300.8054841366255,✅ Safe
2025-09-29,205.3419796897154,122.6569868564437,290.5292614890017,✅ Safe
2025-09-30,205.24548695690723,121.13290080670502,293.3517522832596,✅ Safe
2025-10-01,199.605925214245,119.73268967719089,286.7207155870576,✅ Safe
